Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt ;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202001;Enexis;Groningen;Westerkwartier;Feerwerd;19691301;65;16;56
202001;Enexis;Groningen;Westerkwartier;Garnwerd;19691302;171;25;92
202001;Enexis;Groningen;Westerkwartier;Verspreide huizen Ezinge;19691309;244;70;704
202001;Enexis;Groningen;Westerkwartier;Zuidhorn;19691400;3.252;726;2.684
202001;Enexis;Groningen;Westerkwartier;Noordhorn;19691401;603;126;604
202001;Enexis;Groningen;Westerkwartier;Niezijl;19691402;158;17;114
202001;Enexis;Groningen;Westerkwartier;Briltil;19691403;113;48;173
202001;Enexis;Groningen;Westerkwartier;Verspreide huizen Zuidhorn;19691409;217;72;411
202001;Enexis;Groningen;Westerkwartier;Grijpskerk;19691500;1.113;164;721
202001;Enexis;Groningen;Westerkwartier;Visvliet;19691502;164;28;141
202001;Enexis;Groningen;Westerkwartier;Kommerzijl;19691503;225;47;174
202001;Enexis;Groningen;Westerkwartier;Pieterzijl;19691504;58;14;50
202001;Enexis;Groningen;Westerkwartier;Verspreide huizen Grijpskerk;19691509;307;73;694
202001;Enexis;Groningen;Westerkwartier;Oldehove;19691600;517;71;253
202001;Enexis;Groningen;Westerkwartier;Niehove;19691601;60;11;33
202001;Enexis;Groningen;Westerkwartier;Saaksum;19691603;73;14;141
202001;Enexis;Groningen;Westerkwartier;Verspreide huizen Ruigezand en Nieuwe Ruigezand;19691608;88;23;337
202001;Enexis;Groningen;Westerkwartier;Aduard;19691700;856;175;598
202001;Enexis;Groningen;Westerkwartier;Den Horn;19691701;48;10;44
202001;Enexis;Groningen;Westerkwartier;Verspreide huizen Aduard;19691709;353;86;788
202001;Enexis;Groningen;Midden-Groningen;Uiterburen;19870001;155;53;391
202001;Enexis;Groningen;Midden-Groningen;Heiligelaan;19870002;310;115;349
202001;Enexis;Groningen;Midden-Groningen;Westeind;19870003;80;21;78
202001;Enexis;Groningen;Midden-Groningen;W A Schottenweg;19870005;37;12;43
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen Zuidbroek;19870009;102;42;399
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen Noordbroek;19870109;111;26;206
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen Meeden;19870209;87;19;182
202001;Enexis;Groningen;Midden-Groningen;Muntendam met Oude Verlaat;19870300;2.018;501;1.653
202001;Enexis;Groningen;Midden-Groningen;Tussenklappen;19870302;38;13;204
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen Muntendam;19870309;211;60;358
202001;Enexis;Drenthe;Aa en Hunze;;;280;73;651
202001;Enexis;Drenthe;Assen;;;2.499;400;2.464
202001;Enexis;Drenthe;Borger-Odoorn;;;385;73;652
202001;Enexis;Drenthe;Coevorden;;;827;125;1.227
