Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202201;Enexis;Drenthe;Aa en Hunze;Annen;BU16800000;1.541;631;2.794
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Annen;BU16800009;95;29;257
202201;Enexis;Drenthe;Aa en Hunze;Eext;BU16800100;580;201;858
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eext;BU16800109;121;34;233
202201;Enexis;Drenthe;Aa en Hunze;Anloo;BU16800200;154;52;249
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anloo;BU16800209;34;13;63
202201;Enexis;Drenthe;Aa en Hunze;Gasteren;BU16800300;184;80;412
202201;Enexis;Drenthe;Aa en Hunze;Anderen;BU16800400;103;34;184
202201;Enexis;Drenthe;Aa en Hunze;Schipborg;BU16800500;297;129;562
202201;Enexis;Drenthe;Aa en Hunze;Eexterveen;BU16800600;190;101;747
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterveen;BU16800609;19;14;93
202201;Enexis;Drenthe;Aa en Hunze;Spijkerboor;BU16800700;68;29;120
202201;Enexis;Drenthe;Aa en Hunze;Nieuw-Annerveen;BU16800800;42;23;170
202201;Enexis;Drenthe;Aa en Hunze;Oud-Annerveen;BU16800900;46;23;172
202201;Enexis;Drenthe;Aa en Hunze;Annerveenschekanaal;BU16801100;197;57;299
202201;Enexis;Drenthe;Aa en Hunze;Eexterveenschekanaal;BU16801200;114;46;185
202201;Enexis;Drenthe;Aa en Hunze;Gasselte;BU16801400;750;224;1.090
202201;Enexis;Drenthe;Aa en Hunze;Kostvlies;BU16801401;60;23;151
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gasselte;BU16801409;148;25;305
202201;Enexis;Drenthe;Aa en Hunze;Gasselternijveen;BU16801500;865;267;1.163
202201;Enexis;Drenthe;Aa en Hunze;Gasselternijveenschemond;BU16801600;303;90;435
202201;Enexis;Drenthe;Aa en Hunze;Gieten;BU16801700;2.380;712;3.338
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieten;BU16801709;229;47;311
202201;Enexis;Drenthe;Aa en Hunze;Gieterveen;BU16801800;294;95;449
202201;Enexis;Drenthe;Aa en Hunze;Bonnerveen;BU16801801;57;18;164
202201;Enexis;Drenthe;Aa en Hunze;Nieuwediep;BU16801802;121;39;289
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieterveen;BU16801809;114;41;467
202201;Enexis;Drenthe;Aa en Hunze;Rolde;BU16801900;1.862;611;2.530
202201;Enexis;Drenthe;Aa en Hunze;Ballo;BU16801901;62;25;252
202201;Enexis;Drenthe;Aa en Hunze;Deurze;BU16801903;33;10;86
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Nooitgedacht;BU16801908;248;147;870
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Rolde;BU16801909;155;31;363
202201;Enexis;Drenthe;Aa en Hunze;Grolloo;BU16802000;280;85;487
202201;Enexis;Drenthe;Aa en Hunze;Schoonloo;BU16802001;91;22;182
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Grolloo;BU16802009;175;40;534
202201;Enexis;Drenthe;Aa en Hunze;Ekehaar;BU16802100;114;44;430
202201;Enexis;Drenthe;Aa en Hunze;Amen;BU16802101;41;11;80
202201;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Ekehaar;BU16802109;77;20;200
202201;Enexis;Drenthe;Aa en Hunze;;;254;65;740
202201;Enexis;Drenthe;Assen;Brinkkwartier;BU01060000;288;15;179
202201;Enexis;Drenthe;Assen;Overcingel;BU01060002;312;32;203
202201;Enexis;Drenthe;Assen;Oranjebuurt;BU01060003;463;44;244
202201;Enexis;Drenthe;Assen;Galgenveld;BU01060004;563;13;57
202201;Enexis;Drenthe;Assen;Koopmanskwartier;BU01060005;1.167;61;124
202201;Enexis;Drenthe;Assen;Cultuureelkwartier;BU01060006;239;23;95
202201;Enexis;Drenthe;Assen;Oude Gasfabriek;BU01060007;124;34;179
202201;Enexis;Drenthe;Assen;De Hertenkamp;BU01060008;322;50;206
202201;Enexis;Drenthe;Assen;De Esch;BU01060010;363;68;254
202201;Enexis;Drenthe;Assen;Bomenbuurt;BU01060011;298;62;259
202201;Enexis;Drenthe;Assen;Zuiderpark;BU01060012;129;41;207
202201;Enexis;Drenthe;Assen;De Lariks Oost;BU01060100;817;69;274
202201;Enexis;Drenthe;Assen;Landgoed Lariks;BU01060101;442;51;237
202201;Enexis;Drenthe;Assen;De Lariks West;BU01060102;731;135;438
202201;Enexis;Drenthe;Assen;Luchiesland Zuid;BU01060103;537;210;486
202201;Enexis;Drenthe;Assen;Zuid Molukse Buurt;BU01060104;231;198;359
202201;Enexis;Drenthe;Assen;Luchiesland Noord;BU01060105;421;29;109
202201;Enexis;Drenthe;Assen;Oude Molenbuurt;BU01060200;1.183;326;958
202201;Enexis;Drenthe;Assen;Dichtershof;BU01060201;408;34;97
202201;Enexis;Drenthe;Assen;Veningerland;BU01060202;873;330;967
202201;Enexis;Drenthe;Assen;Zwarte Water;BU01060203;651;376;776
202201;Enexis;Drenthe;Assen;Componistenbuurt West;BU01060204;292;119;422
202201;Enexis;Drenthe;Assen;Componistenbuurt Oost;BU01060205;1.043;444;1.182
202201;Enexis;Drenthe;Assen;Dijkveld;BU01060300;37;11;86
202201;Enexis;Drenthe;Assen;Vreebergen;BU01060301;61;38;171
202201;Enexis;Drenthe;Assen;Houtlaan;BU01060302;140;86;534
202201;Enexis;Drenthe;Assen;Amelterhout;BU01060303;125;50;184
202201;Enexis;Drenthe;Assen;Schildersbuurt;BU01060304;620;189;464
202201;Enexis;Drenthe;Assen;Vredeveld Noord;BU01060305;1.087;263;745
202201;Enexis;Drenthe;Assen;Sluisdennen;BU01060306;153;53;301
202201;Enexis;Drenthe;Assen;Vredeveld Zuid;BU01060307;1.305;329;930
202201;Enexis;Drenthe;Assen;De Dorpen;BU01060308;637;324;891
202201;Enexis;Drenthe;Assen;Park Diepstroeten;BU01060310;435;342;1.479
202201;Enexis;Drenthe;Assen;Pittelo Zuid;BU01060400;162;55;191
202201;Enexis;Drenthe;Assen;Pittelo Midden;BU01060401;779;149;449
202201;Enexis;Drenthe;Assen;Pittelo Noord;BU01060402;637;164;509
202201;Enexis;Drenthe;Assen;Baggelhuizen Zuid;BU01060502;485;234;819
202201;Enexis;Drenthe;Assen;Baggelhuizen Midden;BU01060503;784;242;724
202201;Enexis;Drenthe;Assen;Baggelhuizen Noord;BU01060504;311;289;644
202201;Enexis;Drenthe;Assen;Westerpark;BU01060508;269;132;445
202201;Enexis;Drenthe;Assen;De Venen/De Wallen;BU01060600;454;119;438
202201;Enexis;Drenthe;Assen;De Velden/De Stukken;BU01060601;745;167;539
202201;Enexis;Drenthe;Assen;De Landen/De Akkers;BU01060602;1.090;232;776
202201;Enexis;Drenthe;Assen;De Kampen/De Essen;BU01060603;692;207;707
202201;Enexis;Drenthe;Assen;Peelerpark;BU01060604;84;16;170
202201;Enexis;Drenthe;Assen;Messchenveld;BU01060700;104;31;300
202201;Enexis;Drenthe;Assen;De Messchen;BU01060701;355;143;650
202201;Enexis;Drenthe;Assen;De Hamels;BU01060702;219;114;494
