Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202007;Enexis;Drenthe;Aa en Hunze;Annen;16800000;1.491;447;1.866
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Annen;16800009;116;29;243
202007;Enexis;Drenthe;Aa en Hunze;Eext;16800100;559;143;565
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eext;16800109;127;24;150
202007;Enexis;Drenthe;Aa en Hunze;Anloo;16800200;127;29;129
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anloo;16800209;61;15;71
202007;Enexis;Drenthe;Aa en Hunze;Gasteren;16800300;166;61;297
202007;Enexis;Drenthe;Aa en Hunze;Anderen;16800400;72;16;119
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anderen;16800409;43;16;149
202007;Enexis;Drenthe;Aa en Hunze;Schipborg;16800500;210;81;353
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Schipborg;16800509;126;21;121
202007;Enexis;Drenthe;Aa en Hunze;Eexterveen;16800600;176;71;542
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterveen;16800609;25;11;94
202007;Enexis;Drenthe;Aa en Hunze;Spijkerboor;16800700;52;17;72
202007;Enexis;Drenthe;Aa en Hunze;Nieuw-Annerveen;16800800;22;10;58
202007;Enexis;Drenthe;Aa en Hunze;Oud-Annerveen;16800900;29;10;64
202007;Enexis;Drenthe;Aa en Hunze;Annerveenschekanaal;16801100;200;46;193
202007;Enexis;Drenthe;Aa en Hunze;Eexterveenschekanaal;16801200;115;28;108
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterzandvoort;16801309;52;11;88
202007;Enexis;Drenthe;Aa en Hunze;Gasselte;16801400;693;132;611
202007;Enexis;Drenthe;Aa en Hunze;Kostvlies;16801401;50;15;80
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gasselte;16801409;194;34;306
202007;Enexis;Drenthe;Aa en Hunze;Gasselternijveen;16801500;855;198;739
202007;Enexis;Drenthe;Aa en Hunze;Gasselternijveenschemond;16801600;303;70;314
202007;Enexis;Drenthe;Aa en Hunze;Gieten;16801700;2.350;529;2.143
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieten;16801709;247;35;253
202007;Enexis;Drenthe;Aa en Hunze;Gieterveen;16801800;247;51;236
202007;Enexis;Drenthe;Aa en Hunze;Bonnerveen;16801801;52;14;118
202007;Enexis;Drenthe;Aa en Hunze;Nieuwediep;16801802;102;20;135
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieterveen;16801809;180;55;584
202007;Enexis;Drenthe;Aa en Hunze;Rolde;16801900;1.811;436;1.757
202007;Enexis;Drenthe;Aa en Hunze;Ballo;16801901;53;13;93
202007;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Nooitgedacht;16801908;184;98;506
