Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202101;Enexis;Drenthe;Aa en Hunze;Annen;16800000;1493;491;2045
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Annen;16800009;116;31;251
202101;Enexis;Drenthe;Aa en Hunze;Eext;16800100;558;160;649
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eext;16800109;127;29;176
202101;Enexis;Drenthe;Aa en Hunze;Anloo;16800200;127;36;153
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anloo;16800209;61;18;82
202101;Enexis;Drenthe;Aa en Hunze;Gasteren;16800300;166;63;311
202101;Enexis;Drenthe;Aa en Hunze;Anderen;16800400;72;17;125
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anderen;16800409;43;19;165
202101;Enexis;Drenthe;Aa en Hunze;Schipborg;16800500;209;99;396
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Schipborg;16800509;126;22;115
202101;Enexis;Drenthe;Aa en Hunze;Eexterveen;16800600;178;79;596
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterveen;16800609;25;12;101
202101;Enexis;Drenthe;Aa en Hunze;Spijkerboor;16800700;52;21;83
202101;Enexis;Drenthe;Aa en Hunze;Nieuw-Annerveen;16800800;23;11;113
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Nieuw-Annerveen;16800809;44;10;43
202101;Enexis;Drenthe;Aa en Hunze;Oud-Annerveen;16800900;29;12;68
202101;Enexis;Drenthe;Aa en Hunze;Annerveenschekanaal;16801100;200;50;243
202101;Enexis;Drenthe;Aa en Hunze;Eexterveenschekanaal;16801200;116;34;130
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterzandvoort;16801309;52;12;94
202101;Enexis;Drenthe;Aa en Hunze;Gasselte;16801400;696;153;720
202101;Enexis;Drenthe;Aa en Hunze;Kostvlies;16801401;50;15;80
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gasselte;16801409;191;37;323
202101;Enexis;Drenthe;Aa en Hunze;Gasselternijveen;16801500;857;243;915
202101;Enexis;Drenthe;Aa en Hunze;Gasselternijveenschemond;16801600;303;74;330
202101;Enexis;Drenthe;Aa en Hunze;Gieten;16801700;2355;589;2475
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieten;16801709;248;41;278
202101;Enexis;Drenthe;Aa en Hunze;Gieterveen;16801800;248;62;289
202101;Enexis;Drenthe;Aa en Hunze;Bonnerveen;16801801;52;15;153
202101;Enexis;Drenthe;Aa en Hunze;Nieuwediep;16801802;103;26;171
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieterveen;16801809;180;55;578
202101;Enexis;Drenthe;Aa en Hunze;Rolde;16801900;1813;492;1958
202101;Enexis;Drenthe;Aa en Hunze;Ballo;16801901;53;14;93
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Nooitgedacht;16801908;192;106;548
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Rolde;16801909;227;46;399
202101;Enexis;Drenthe;Aa en Hunze;Grolloo;16802000;265;64;321
202101;Enexis;Drenthe;Aa en Hunze;Schoonloo;16802001;83;16;97
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Grolloo;16802009;189;39;433
202101;Enexis;Drenthe;Aa en Hunze;Ekehaar;16802100;107;34;318
202101;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Ekehaar;16802109;106;28;253
202101;Enexis;Drenthe;Aa en Hunze;;;247;80;724
202101;Enexis;Drenthe;Assen;Brinkkwartier;1060000;279;12;61
202101;Enexis;Drenthe;Assen;Overcingel;1060002;278;22;100
202101;Enexis;Drenthe;Assen;Oranjebuurt;1060003;305;29;92
202101;Enexis;Drenthe;Assen;Koopmanskwartier;1060005;1169;60;174
202101;Enexis;Drenthe;Assen;Cultuureelkwartier;1060006;230;16;70
202101;Enexis;Drenthe;Assen;Oude Gasfabriek;1060007;83;12;36
202101;Enexis;Drenthe;Assen;De Hertenkamp;1060008;323;52;210
202101;Enexis;Drenthe;Assen;De Esch;1060010;364;51;153
202101;Enexis;Drenthe;Assen;Bomenbuurt;1060011;301;48;190
202101;Enexis;Drenthe;Assen;Zuiderpark;1060012;138;39;182
202101;Enexis;Drenthe;Assen;De Lariks Oost;1060100;737;50;190
202101;Enexis;Drenthe;Assen;Landgoed Lariks;1060101;488;40;180
202101;Enexis;Drenthe;Assen;De Lariks West;1060102;810;115;347
202101;Enexis;Drenthe;Assen;Luchiesland Zuid;1060103;533;175;398
202101;Enexis;Drenthe;Assen;Zuid Molukse Buurt;1060104;229;194;353
202101;Enexis;Drenthe;Assen;Luchiesland Noord;1060105;416;17;63
202101;Enexis;Drenthe;Assen;Oude Molenbuurt;1060200;1168;288;751
202101;Enexis;Drenthe;Assen;Dichtershof;1060201;396;22;64
202101;Enexis;Drenthe;Assen;Veningerland;1060202;799;256;726
202101;Enexis;Drenthe;Assen;Zwarte Water;1060203;657;229;554
202101;Enexis;Drenthe;Assen;Componistenbuurt West;1060204;292;103;365
202101;Enexis;Drenthe;Assen;Componistenbuurt Oost;1060205;1011;376;998
202101;Enexis;Drenthe;Assen;Vreebergen;1060301;69;37;156
202101;Enexis;Drenthe;Assen;Houtlaan;1060302;140;80;483
202101;Enexis;Drenthe;Assen;Amelterhout;1060303;125;40;146
202101;Enexis;Drenthe;Assen;Schildersbuurt;1060304;619;170;381
202101;Enexis;Drenthe;Assen;Vredeveld Noord;1060305;1031;219;648
202101;Enexis;Drenthe;Assen;Sluisdennen;1060306;155;44;226
202101;Enexis;Drenthe;Assen;Vredeveld Zuid;1060307;1211;292;784
202101;Enexis;Drenthe;Assen;De Dorpen;1060308;659;319;869
202101;Enexis;Drenthe;Assen;Park Diepstroeten;1060310;222;149;485
202101;Enexis;Drenthe;Assen;Pittelo Zuid;1060400;159;50;169
202101;Enexis;Drenthe;Assen;Pittelo Midden;1060401;721;131;381
202101;Enexis;Drenthe;Assen;Pittelo Noord;1060402;659;136;401
202101;Enexis;Drenthe;Assen;Baggelhuizen Zuid;1060502;485;211;698
202101;Enexis;Drenthe;Assen;Baggelhuizen Midden;1060503;780;197;562
202101;Enexis;Drenthe;Assen;Baggelhuizen Noord;1060504;314;286;630
