Peildatum;Netbeheerder;Gemeente;CBS Buurt;CBS Buurtcode;Maximum (omvormer) capaciteit_wind_in aanleg;Maximum (omvormer) capaciteit_wind_in bedrijf;Maximum (omvormer) capaciteit_zon_in aanleg;Maximum (omvormer) capaciteit_zon_in bedrijf
202201;Enexis;Appingedam;Appingedam-West;BU00030001;0;0;0;0
202201;Enexis;Appingedam;Appingedam-Oost;BU00030002;0;0;0;1
202201;Enexis;Appingedam;Verspreide huizen Damsterdiep en Eemskanaal;BU00030007;0;0;0;0
202201;Enexis;Appingedam;Verspreide huizen ten zuiden van Eemskanaal;BU00030008;0;0;14;0
202201;Enexis;Bedum;Bedum;BU00050000;0;0;0;1
202201;Enexis;Bedum;Verspreide huizen Bedum;BU00050001;0;1;2;0
202201;Enexis;Bedum;Zuidwolde;BU00050002;0;0;1;0
202201;Enexis;Bedum;Verspreide huizen Onderdendam;BU00050005;0;1;1;0
202201;Enexis;Bedum;Verspreide huizen Noordwolde;BU00050007;0;0;0;0
202201;Enexis;Ten Boer;Ten Boer;BU00090000;0;0;0;0
202201;Enexis;Ten Boer;Verspreide huizen ten noorden van het Eemskanaal;BU00090009;0;0;0;0
202201;Enexis;Ten Boer;Ten Post;BU00090100;0;0;0;0
202201;Enexis;Ten Boer;Verspreide huizen ten noorden van het Eemskanaal;BU00090109;0;0;0;1
202201;Enexis;Delfzijl;Delfzijl-Centrum;BU00100000;0;0;0;1
202201;Enexis;Delfzijl;Farmsum;BU00100001;0;70;0;2
202201;Enexis;Delfzijl;Delfzijl-Noord;BU00100002;0;0;0;0
202201;Enexis;Delfzijl;Tuikwerd;BU00100005;0;0;0;1
202201;Enexis;Delfzijl;Meedhuizen;BU00100103;0;0;0;0
202201;Enexis;Delfzijl;Verspreide huizen Eemskanaal (ten zuiden);BU00100107;73;68;0;39
202201;Enexis;Delfzijl;Industrieterrein;BU00100108;0;160;11;11
202201;Enexis;Delfzijl;Wagenborgen;BU00100205;0;2;0;6
202201;Enexis;Delfzijl;Verspreide huizen Wagenborgen;BU00100207;0;1;0;2
202201;Enexis;Delfzijl;Verspreide huizen Termunten;BU00100209;0;1;0;1
202201;Enexis;Delfzijl;Godlinze;BU00100303;0;0;0;0
202201;Enexis;Delfzijl;Losdorp;BU00100304;0;0;0;0
202201;Enexis;Delfzijl;Verspreide huizen Bierum;BU00100309;0;11;1;2
202201;Enexis;Groningen;Binnenstad-Noord;BU00140000;0;0;0;0
202201;Enexis;Groningen;Binnenstad-Zuid;BU00140001;0;0;0;0
202201;Enexis;Groningen;Binnenstad-Oost;BU00140002;0;0;0;0
202201;Enexis;Groningen;Hortusbuurt-Ebbingekwartier;BU00140005;0;0;0;10
